,0
1687,4e-05
1688,0.005569999999999999
1689,9.429999999999999e-05
1690,0.000433
1691,4.02e-05
1692,0.0002
1693,3.1e-05
1694,2.3800000000000006e-05
1695,0.00015
1696,3.9200000000000004e-05
1697,1.1e-05
1698,0.0007099999999999999
1699,0.00035
1700,0.00015
1701,0.00013000000000000002
1702,0.00035
1703,3.5600000000000005e-05
1704,0.000103
1705,0.00014
1706,0.00015
1707,0.00016
1708,0.000194
1709,0.00065
1710,9.1e-06
1711,0.000146
1712,1.8e-05
1713,3.2e-05
1714,0.00011999999999999999
1715,7.099999999999997e-06
1716,0.0033
1717,8.7e-05
1718,0.00134
1719,6.709999999999999e-05
1720,2.9999999999999997e-05
1721,0.00015
1722,0.000579
1723,5e-05
1724,0.00055
1725,7.000000000000001e-05
1726,0.000237
1727,5.3e-05
1728,0.004229999999999999
1729,0.000216
1730,9.1e-05
1731,7.5e-05
1732,7.5e-05
1733,0.0147
1734,0.00158
1735,4e-05
1736,0.0024
1737,9e-06
1738,6.92e-05
1739,0.0005
1740,0.000362
1741,8.499999999999999e-05
1742,0.00027
1743,8.499999999999999e-05
1744,2.4e-05
1745,9.159999999999999e-05
1746,0.000126
1747,8.409999999999997e-05
1748,5.9999999999999995e-05
1749,5.9999999999999995e-05
1750,0.0002
1751,3.81e-05
1752,5.4899999999999986e-05
1753,2.2e-05
1754,0.00046
1755,0.016
1756,1.11e-05
1757,0.0205
1758,8.9e-05
1759,0.009000000000000001
1760,0.00158
1761,2.1e-05
1762,0.0002
1763,0.182
1764,0.000135
1765,4.8e-05
1766,0.0016
1767,2.9999999999999997e-05
1768,1.9600000000000002e-05
1769,0.00011
1770,4.46e-05
1771,1e-06
1772,0.000226
1773,0.00017999999999999998
1774,0.0002
1775,2.9999999999999997e-05
1776,8.950000000000001e-05
1777,0.00011999999999999999
1778,3.2200000000000003e-05
1779,5.9999999999999995e-05
1780,4e-05
1781,0.00015
1782,0.0034200000000000003
1783,0.0368
1784,0.015
1785,4e-05
1786,0.0032
1787,1.1699999999999995e-05
1788,8.7e-05
1789,3.2e-05
1790,5.5399999999999985e-05
1791,4.9e-05
1792,0.00021
1793,0.0005
1794,0.0014
1795,0.0004
1796,0.000101
1797,8.999999999999999e-05
1798,0.0075
1799,8.8e-05
1800,3.65e-05
1801,2.17e-05
1802,6.429999999999999e-05
1803,0.000165
1804,8e-05
1805,0.00147
1806,6.8e-05
1807,5.400000000000001e-05
1808,0.00015099999999999998
1809,0.021
1810,3.69e-05
1811,0.045
1812,5.9999999999999995e-05
1813,0.006229999999999999
1814,0.0005200000000000001
1815,0.0045
1816,3e-06
1817,0.0001
1818,0.0002
1819,6.18e-05
1820,0.000109
1821,5e-05
1822,4e-05
1823,1.0199999999999999e-05
1824,0.0013599999999999999
1825,0.00093
1826,0.0002
1827,0.00014
1828,0.00032
1829,9.84e-05
1830,8.999999999999999e-05
1831,4e-05
1832,3.13e-05
1833,2.8000000000000006e-05
1834,0.0105
1835,9.27e-05
1836,1.2199999999999995e-05
1837,0.00017999999999999998
1838,0.0008
1839,0.00686
1840,7.000000000000001e-05
1841,0.0005639999999999999
1842,0.0024
1843,0.00042
1844,0.000468
1845,2.9e-05
1846,0.00028000000000000003
1847,1.09e-05
1848,0.0005
1849,0.0005200000000000001
1850,6.850000000000001e-05
1851,8.75e-05
1852,0.00034
1853,0.0005
1854,9.1e-06
1855,4.9e-05
1856,0.00055
1857,7.000000000000001e-05
1858,0.001
1859,6.99e-05
1860,0.00013000000000000002
1861,0.0001
1862,2e-05
1863,0.0003
1864,0.00011
1865,0.00023999999999999998
1866,0.00028399999999999996
1867,0.0010199999999999999
1868,0.00014
1869,3.4299999999999993e-05
1870,5.2e-05
1871,0.00367
1872,7.999999999999999e-05
1873,0.00011
1874,0.001
1875,2.5e-05
1876,0.00039
1877,0.00055
1878,0.000562
1879,0.00023
1880,1.04e-05
1881,5.6999999999999996e-05
1882,0.0005
1883,0.00436
1884,1.3e-05
1885,8e-06
1886,0.00017999999999999998
1887,0.00022
1888,2.2e-05
1889,0.00043
1890,2.9999999999999997e-05
1891,8.999999999999999e-05
1892,0.00015900000000000002
1893,0.00014
1894,0.0048
1895,0.00019099999999999998
1896,9e-06
1897,0.0075
1898,9.6e-05
1899,8.309999999999999e-05
1900,0.0005099999999999999
1901,0.00025
1902,7.000000000000001e-05
1903,0.0074
1904,0.00011
1905,3.2e-05
1906,0.00101
1907,0.00017999999999999998
1908,6.17e-05
1909,0.00026000000000000003
1910,8.159999999999999e-05
